County,FIPS code,County type,CBSA,CBSA type,State Abbreviation,FEMA region,Population,Population as a percent of CBSA,Population as a percent of state,Population as a percent of national population,IHE with >5000 full-time enrollment,IHE Full-time enrollment,IHE Full-time enrollment as a percent of the population,Cases as a percent of national total - last 7 days,Cases - last 7 days,Cases per 100k - last 7 days,Deaths - last 7 days,Deaths per 100k - last 7 days,Cases - % change,Deaths - % change,Cases as a percent of national total - previous 7 days,Cases - previous 7 days,Cases per 100k - previous 7 days,Deaths - previous 7 days,Deaths per 100k - previous 7 days,Cumulative cases,Cumulative cases per 100k,Cumulative deaths,Cumulative deaths per 100k,Rapid rise (last 14 days),Number of days of downward case trajectory,Area of Concern Category,Rapid Riser Category,Community Transmission Level - last 7 days,Community Transmission Level - previous 7 days,Viral (RT-PCR) lab test positivity rate - last 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - last 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - last 7 days (may be an underestimate due to delayed reporting),Median test latency - last 7 days,% tests resulted in 3 or fewer days - last 7 days,Viral (RT-PCR) lab test positivity rate - absolute change (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - % change (may be an underestimate due to delayed reporting),Testing latency - absolute change,% tests resulted in 3 or fewer days - absolute change,Viral (RT-PCR) lab test positivity rate - previous 7 days (may be an underestimate due to delayed reporting),Total RT-PCR diagnostic tests - previous 7 days (may be an underestimate due to delayed reporting),RT-PCR tests per 100k - previous 7 days (may be an underestimate due to delayed reporting),Median test latency - previous 7 days,% tests resulted in 3 or fewer days - previous 7 days,Confirmed COVID-19 admissions - last 7 days,Confirmed COVID-19 admissions per 100 inpatient beds - last 7 days,Suspected COVID-19 admissions - last 7 days,Suspected COVID-19 admissions per 100 inpatient beds - last 7 days,% inpatient beds occupied,% inpatient beds occupied by COVID-19 patient,% staffed adult ICU beds occupied,% staffed adult ICU beds occupied by COVID-19 patient,% ventilators in use,% ventilators in use by COVID-19 patient,Confirmed COVID-19 admissions per 100 inpatient beds - percent increase,Suspected COVID-19 admissions per 100 inpatient beds - percent increase,% inpatient beds occupied - absolute change,% inpatient beds occupied by COVID-19 patient - absolute change,% staffed adult ICU beds occupied - absolute change,% staffed adult ICU beds occupied by COVID-19 patient - absolute change,% ventilators in use - absolute change,% ventilators in use by COVID-19 patient - absolute change,Total # of hospital CCNs,Total inpatient beds among hospitals reporting - last 7 days,Total staffed adult ICU beds among hospitals reporting - last 7 days,Total ventilators among hospitals reporting - last 7 days,% hospital CCNs reporting any utilization data at least once - last 7 days,% hospital CCNs reporting all utilization data  at least once - last 7 days,% hospital CCNs ever reporting utilization data,% hospital CCNs reporting COVID-19 admissions at least once - last 7 days,People with at least 1 dose,People with at least 1 dose as % of total population,People who are fully vaccinated,People who are fully vaccinated as % of total population,People initiating vaccination - last 7 days - ages 12-17,People initiating vaccination as % of population - last 7 days - ages 12-17,People initiating vaccination - last 7 days - ages 18+,People initiating vaccination as % of population - last 7 days - ages 18+,People initiating vaccination - last 7 days - ages 65+,People initiating vaccination as % of population - last 7 days - ages 65+,People initiating vaccination as % of population - absolute change - ages 12-17,People initiating vaccination as % of population - absolute change - ages 18+,People initiating vaccination as % of population - absolute change - ages 65+,People with at least 1 dose - ages 12-17,People with at least 1 dose as % of population - ages 12-17,People who are fully vaccinated - ages 12-17,People who are fully vaccinated as % of population - ages 12-17,People with at least 1 dose - ages 18+,People with at least 1 dose as % of population - ages 18+,People who are fully vaccinated - ages 18+,People who are fully vaccinated as % of population - ages 18+,People with at least 1 dose - ages 65+,People with at least 1 dose as % of population - ages 65+,People who are fully vaccinated - ages 65+,People who are fully vaccinated as % of population - ages 65+,% Uninsured,% In Poverty,% Over Age 65,Average household size,% Non-Hispanic Black,% Hispanic,% Non-Hispanic Native American / Alaskan Native,% Non-Hispanic Asian,SVI score,CCVI score,Forecasted case trajectory
"Maricopa County, AZ",4013,Large central metro,"Phoenix-Mesa-Chandler, AZ",Metropolitan,AZ,9,4485414,0.906,0.616,0.014,3,83484,0.019,0.026,2121,47,66,1.5,0.03,0.32,0.023,2054,46,50,1.1,557651,12433,10238,228,0,39,EmergingHotspot,,Moderate,Moderate,0.049,29724,663,1,1,0.007,-0.39,0,0,0.042,48729,1086,1,0.99,224,2,501,5,0.67,0.02,0.5,0.04,0.27,0.02,0.12,-0.16,0.01,0,0.01,0,-0.01,0,42,10125,1455,1663,0.98,0.95,1,0.98,2057521,0.459,1628879,0.363,6578,0.018,22681,0.007,1915,0.003,-0.0126,-0.0033,-0.0019,96217,0.264,61201,0.168,1961125,0.571,1567646,0.457,577433,0.829,482079,0.692,0.11,0.15,0.16,2.8,0.06,0.31,0.02,0.04,0.64,0.22,Likely Decreasing
"Clark County, NV",32003,Large central metro,"Las Vegas-Henderson-Paradise, NV",Metropolitan,NV,9,2266715,1,0.736,0.007,1,21541,0.01,0.023,1914,84,19,0.8,0.36,0.12,0.016,1406,62,17,0.7,256826,11330,4471,197,0,0,Hotspot,,Substantial,Substantial,0.071,18932,835,1,0.99,0.027,0.15,0,0.01,0.044,16429,725,1,0.98,219,4,269,5,0.75,0.04,0.75,0.1,0.3,0.03,0.53,0.09,0.01,0.01,0.01,0.02,0.01,0.01,26,5577,626,1036,0.96,0.92,1,0.96,1024332,0.452,849027,0.375,2724,0.015,12316,0.007,1071,0.003,-0.0129,-0.0041,-0.0014,39860,0.227,24230,0.138,984448,0.564,824791,0.472,267818,0.782,233781,0.682,0.13,0.14,0.15,2.8,0.12,0.32,0,0.1,0.74,0.63,Likely Decreasing
"Miami-Dade County, FL",12086,Large central metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,2716940,0.441,0.127,0.008,3,60195,0.022,0.022,1778,65,0,0,-0.15,,0.023,2102,77,0,0,506428,18640,6472,238,0,59,ModerateBurdenResolving,,Substantial,Substantial,0.038,81679,3006,,,0.005,-0.11,,,0.033,92038,3388,,,190,3,76,1,0.83,0.04,0.76,0.08,0.27,0.03,-0.14,-0.03,-0.01,0,0,-0.01,0.01,0,22,6060,980,1877,1,0.95,1,1,1788121,0.658,1450618,0.534,6283,0.034,45572,0.021,2847,0.006,-0.0078,-0.008,-0.003,66133,0.363,39651,0.217,1720973,0.794,1410441,0.651,434560,0.96,361269,0.798,0.18,0.18,0.17,3.1,0.15,0.69,0,0.02,0.82,0.81,Uncertain
"Los Angeles County, CA",6037,Large central metro,"Los Angeles-Long Beach-Anaheim, CA",Metropolitan,CA,9,10039107,0.76,0.254,0.03,11,260018,0.026,0.016,1329,13,26,0.3,0.07,1.89,0.014,1244,12,9,0.1,1248161,12433,24461,244,0,16,EmergingHotspot,,Moderate,Moderate,0.007,260409,2594,,,0.002,-0.23,,,0.005,339487,3382,,,277,2,475,3,0.75,0.01,0.66,0.02,0.22,0.01,0.08,-0.02,0.01,0,0.01,0,0,0,90,17712,2061,5234,0.96,0.93,0.99,0.96,5770977,0.575,4935772,0.492,18205,0.025,81907,0.01,7428,0.005,-0.0108,-0.0018,-0.001,309036,0.426,232314,0.32,5446353,0.69,4694377,0.595,1164661,0.824,1008283,0.713,0.11,0.16,0.14,3,0.08,0.49,0,0.15,0.77,0.49,Uncertain
"Broward County, FL",12011,Large fringe metro,"Miami-Fort Lauderdale-Pompano Beach, FL",Metropolitan,FL,4,1952778,0.317,0.091,0.006,1,13150,0.007,0.012,976,50,0,0,-0.2,,0.013,1215,62,0,0,247743,12687,3079,158,0,60,ModerateBurden,,Substantial,Substantial,0.039,40492,2074,,,0.003,-0.08,,,0.036,44008,2254,,,202,4,64,1,0.76,0.04,0.78,0.1,0.35,0.04,-0.16,0.46,-0.01,0,-0.01,0,-0.01,0,15,4595,514,945,1,1,1,1,1112903,0.57,903883,0.463,3480,0.025,17956,0.012,1608,0.005,-0.0081,-0.0033,-0.0018,46883,0.335,30391,0.217,1065492,0.691,873431,0.566,309244,0.924,256686,0.767,0.15,0.13,0.17,2.8,0.28,0.31,0,0.04,0.58,0.61,Likely Decreasing
"Hillsborough County, FL",12057,Large central metro,"Tampa-St. Petersburg-Clearwater, FL",Metropolitan,FL,4,1471968,0.461,0.069,0.004,2,40510,0.028,0.011,903,61,0,0,0.14,,0.009,792,54,0,0,145675,9897,1832,124,0,55,EmergingHotspot,,Substantial,Substantial,0.032,19304,1311,,,0.003,-0.06,,,0.029,20453,1390,,,187,5,95,2,0.8,0.03,0.75,0.06,0.25,0.01,0.12,-0.27,-0.01,0,-0.03,0.01,-0.01,-0.01,12,4119,521,639,1,0.92,1,1,726968,0.494,584218,0.397,1905,0.018,8593,0.007,807,0.004,-0.0157,-0.0039,-0.0016,29067,0.268,18840,0.174,697754,0.608,565363,0.493,199020,0.93,151684,0.709,0.13,0.15,0.15,2.6,0.16,0.3,0,0.04,0.67,0.5,Uncertain
"Bexar County, TX",48029,Large central metro,"San Antonio-New Braunfels, TX",Metropolitan,TX,6,2003554,0.785,0.069,0.006,2,39255,0.02,0.01,857,43,9,0.4,-0.03,-0.47,0.01,880,44,17,0.8,226404,11300,3614,180,0,14,EmergingHotspot,,Moderate,Moderate,0.018,44110,2202,1,1,0.001,0.25,0,0,0.017,35317,1763,1,1,127,2,98,2,0.64,0.02,0.91,0.09,0.37,0.02,0.17,0.06,0.04,0,0,0.01,0,0,18,6067,565,1437,1,0.94,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.16,0.12,3,0.07,0.61,0,0.03,0.83,0.37,Uncertain
"King County, WA",53033,Large central metro,"Seattle-Tacoma-Bellevue, WA",Metropolitan,WA,10,2252782,0.566,0.296,0.007,3,65772,0.029,0.01,814,36,41,1.8,0.32,7.2,0.007,618,27,5,0.2,112120,4977,1650,73,0,45,EmergingHotspot,,Moderate,Moderate,0.011,39842,1769,,,-0.003,0.03,,,0.014,38680,1717,,,42,1,263,6,0.77,0.02,0.58,0.06,0.22,0.02,-0.04,0.12,0.01,0,0.01,-0.01,0.01,0,20,4254,485,803,1,0.95,1,1,1565771,0.695,1414000,0.628,3367,0.023,14461,0.008,1135,0.004,-0.0161,-0.0039,-0.0011,95078,0.653,77562,0.533,1470329,0.816,1336360,0.742,274695,0.903,261310,0.859,0.06,0.1,0.14,2.5,0.07,0.1,0.01,0.19,0.29,0.28,Likely Decreasing
"Orange County, FL",12095,Large central metro,"Orlando-Kissimmee-Sanford, FL",Metropolitan,FL,4,1393452,0.534,0.065,0.004,1,50190,0.036,0.009,769,55,0,0,-0.15,,0.01,900,65,0,0,145025,10408,1310,94,0,59,ModerateBurden,,Substantial,Substantial,0.039,19102,1371,,,0.006,-0.07,,,0.033,20520,1473,,,153,3,305,6,0.88,0.03,0.83,0.06,0.34,0.02,0.23,-0.04,0.01,0,0,-0.01,0.01,-0.01,7,4803,460,834,1,0.86,1,1,740163,0.531,624322,0.448,3161,0.031,12414,0.011,935,0.005,-0.0075,-0.0053,-0.0017,37028,0.36,23651,0.23,700578,0.644,600271,0.552,154230,0.899,137549,0.802,0.15,0.16,0.12,2.8,0.2,0.33,0,0.05,0.67,0.55,Likely Decreasing
"Salt Lake County, UT",49035,Large central metro,"Salt Lake City, UT",Metropolitan,UT,8,1160437,0.941,0.362,0.004,1,27064,0.023,0.009,744,64,2,0.2,0.25,,0.007,596,51,0,0,153003,13185,897,77,0,0,Hotspot,,Substantial,Substantial,0.046,15964,1376,1,0.99,0.01,-0.15,0,0,0.036,18696,1611,1,0.99,80,3,11,0,0.65,0.03,0.63,0.08,0.18,0.02,0.4,0.22,0,0,0.01,0.01,0,0,14,2765,409,640,1,0.93,1,1,632148,0.545,473564,0.408,3201,0.031,7990,0.009,471,0.004,-0.02,-0.0074,-0.0018,41779,0.4,29054,0.278,590253,0.693,444459,0.522,114435,0.88,76945,0.592,0.11,0.1,0.11,3,0.02,0.19,0.01,0.04,0.32,0.05,Likely Decreasing
